idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
,speech,Madison,No!,anger,disapproval,anger
,consigne,,"Surprised, Alexandre jumps up and points his gun at Madison.",,,
,speech,Alexandre,One move and you're dead!,anger,neutral,anger
,speech,Madison,Please don't shoot!,fear,neutral,fear
,speech,Alexandre,Hands up!,joy,neutral,anger
,consigne,,The young woman immediately raises her arms.,,,
,speech,Madison,"Calm down, you see, I'm unarmed ... Now please put your gun down.",fear,neutral,fear
,consigne,,"Seeing that the young woman looks harmless, he lowers his gun.",,,
,speech,Alexandre,What are you doing here? And anyway how did you get in?,surprise,curiosity,surprise
,speech,Madison,I'll explain everything... Let me catch my breath...,neutral,neutral,neutral
,speech,Alexandre,But you are crazy! I almost died of a heart attack!,surprise,amusement,surprise
,speech,Madison,"I'm sorry, the door was ajar and...",sadness,remorse,neutral
,speech,Alexandre,And you took that as an invitation to come into my house...?,surprise,neutral,surprise
,speech,Madison,"No, but...",neutral,neutral,neutral
,speech,Alexandre,"What do you want? To rob me? There is nothing of value here, believe me.",anger,curiosity,anger
,speech,Madison,I'm your neighbor.,neutral,neutral,neutral
,speech,Alexandre,The neighbor next door? She is eighty years old...,surprise,neutral,surprise
,speech,Madison,The neighbor across the courtyard...  window on the public side) The window over there is my apartment.,surprise,neutral,neutral
,speech,Alexandre,Across the courtyard ? It's been vacant for years.,disgust,neutral,surprise
,speech,Madison,Not anymore.,neutral,disapproval,neutral
,speech,Alexandre,Alright... So what?,anger,neutral,neutral
,speech,Madison,"I lost my cat... Haven't you seen her, by any chance... Or even picked her up in your house... If she also entered without being invited...",sadness,sadness,anger
,speech,Alexandre,"Well no, you see. Your cat seems to be better educated than you, apparently...",disgust,disapproval,neutral
,consigne,,She seems very upset.,,,
,speech,Madison,She's been missing for two days. I've put up posters all over the neighborhood with her name and photo. Haven't you seen them?,neutral,curiosity,neutral
,speech,Alexandre,"I don't go out much... and I never look at those kinds of ads. Besides, I'm not very good at recognizing cats...",neutral,disapproval,neutral
,consigne,,She takes a few steps into the room.,,,
,speech,Madison,Tofu! Tofu!,anger,neutral,joy
,speech,Alexandre,What's gotten into your mind to scream like that? Are you mad?,anger,curiosity,surprise
,speech,Madison,Her name is Tofu.,neutral,neutral,neutral
,speech,Alexandre,Your cat's name is Tofu? You must be joking...,neutral,amusement,surprise
,speech,Madison,Not at all. Why?,surprise,confusion,surprise
,speech,Alexandre,"Okay, your cat's name is Tofu, and it hasn't come home for two days. It's not that big of a deal, is it?",neutral,neutral,neutral
,speech,Madison,"Of course it's serious! If I can't find her quickly, he's going to die... She's an indoor cat, you see, she's not meant to live outside in the wilderness...",sadness,neutral,sadness
,speech,Alexandre,"Well that is quite unfortunate. In my time, cats lived in the countryside, or maybe in a big garden at most. They spent their time chasing mice, and only came back home when they were hungry, so we could feed them, stroke them a little, and let them sleep on the couch...",neutral,sadness,neutral
,speech,Madison,"I don't eat meat, and neither does my cat.",disgust,neutral,neutral
,speech,Alexandre,What does it eat then? 4,neutral,neutral,neutral
,speech,Madison,"Kibbles! Vegetable-based kibbles, like me.",joy,neutral,joy
,speech,Alexandre,Do you eat kibbles too?,neutral,curiosity,neutral
,speech,Madison,"Occasionally, yes. Well, not the cat's kibbles, of course.",neutral,neutral,neutral
,speech,Alexandre,A vegetarian cat... I didn't even know that existed... And that's why it's called Tofu...?,surprise,realization,surprise
,speech,Madison,Yes... and also because he's a bit crazy.,neutral,neutral,neutral
,speech,Alexandre,"And I suppose not eating meat is its personal choice, of course...?",disgust,confusion,anger
,speech,Madison,"Well, she's never complained, that's for sure.",neutral,approval,neutral
,speech,Alexandre,"And... do you think now in circuses, tigers and lions are also fed vegetable kibbles?",neutral,curiosity,neutral
,speech,Madison,"I don't know... Anyway, I'm against animals in circuses...",disgust,disapproval,disgust
,speech,Alexandre,But not against indoor cats...,neutral,neutral,neutral
,speech,Madison,I gather you don't have any pets...,neutral,neutral,neutral
,speech,Alexandre,"No, I hate the concept of pets. And the concept of domestication in general, for that matter.  I myself have remained wild...",disgust,anger,disgust
,consigne,,"Unimpressed, she looks around the room.",,,
,speech,Madison,So you haven't seen my cat?,surprise,curiosity,neutral
,speech,Alexandre,"No, I haven't seen your vegan cat. And if you allow me, I think this absurd conversation has lasted long enough.",disgust,disapproval,disgust
,consigne,,She suddenly shivers.,,,
,speech,Madison,Be quiet!,anger,neutral,anger
,speech,Alexandre,I beg your pardon?,anger,neutral,anger
,speech,Madison,Didn't you hear any meowing?,surprise,neutral,neutral
,speech,Alexandre,"Meowing? No, not at all. But you know, I'm starting to become a little deaf. You will see when you reach my age, there are some advantages. Especially when you have noisy neighbors...",neutral,neutral,neutral
