idx,type,character,sentence,j-hartmann/emotion-english-distilroberta-base,SamLowe/roberta-base-go_emotion,michellejieli/emotion_text_classifier
0,consigne,,ACT I SCENE I,,,
1,consigne,,"Scene: A hotel lobby. There are large comfortable chairs set out and a bar to the right. There are two sofas in the room, one on either side of the stage. It is raining outside. BARMAN is behind the bar whistling whilst he dries a glass.",,,
2,consigne,,Enter JESSICA shaking off her umbrella.,,,
3,speech,JESSICA,Goodness me.,joy,gratitude,joy
4,speech,JESSICA,What weather!,surprise,neutral,surprise
5,speech,BARMAN,"Good evening madam, are you with the Cleethorpes party?
",neutral,curiosity,neutral
6,speech,JESSICA,Well yes I am.,neutral,approval,neutral
7,speech,JESSICA,"How could you possibly know that?
",surprise,curiosity,surprise
8,speech,BARMAN,You're the hotel's only guests madam.,neutral,neutral,neutral
9,speech,BARMAN,It seems Mr Cleethorpes rented the entire hotel just for your party.,neutral,neutral,neutral
10,consigne,,laughs,,,
11,speech,JESSICA,"Yes that sounds like Edwin alright, more money then sense.",neutral,approval,neutral
12,speech,BARMAN,Shall I have your bags taken up madam?,anger,neutral,neutral
13,speech,JESSICA,"No, no don't bother with any of that.",anger,disapproval,neutral
14,consigne,,slumps in one of the chairs,,,
15,speech,JESSICA,"But you can pour me a nice glass of sherry if you don't mind.
",neutral,neutral,neutral
16,speech,BARMAN,"Jerez alright madam?
",neutral,neutral,neutral
17,speech,JESSICA,"Perfect.
",neutral,admiration,neutral
18,consigne,,He pours,,,
19,consigne,,and brings the drink over to her then returns to the bar,,,
20,speech,JESSICA,"Did you know Edwin?
",surprise,curiosity,surprise
21,speech,BARMAN,"Everybody knew Mr Cleethorpes Madam, even people who had only spoken to him once or twice knew him.",neutral,neutral,neutral
22,speech,BARMAN,I'm not at all sure he knew me ' though he did always remember my name.,neutral,confusion,neutral
23,speech,BARMAN,"I always got the feeling that he regarded me with friendliness, but only in the way he regarded everyone he ever met as a friend.",disgust,neutral,disgust
24,consigne,,JESSICA lights a cigarette,,,
25,speech,JESSICA,Yes that's quite true.,neutral,approval,neutral
26,speech,JESSICA,He really did find something in everybody to like.,neutral,neutral,neutral
27,speech,JESSICA,It's a trait that's annoying in most people.,disgust,annoyance,neutral
28,speech,JESSICA,That sort of stubborn unwillingness to dislike anybody is usually the substitute for a proper personality.,neutral,neutral,neutral
29,speech,JESSICA,It's the weapon which the obsessively chirpy use to make us feel bad that we can't stand most of our friends.,disgust,disappointment,neutral
30,speech,JESSICA,"Not in Edwin though, he really was something special.",surprise,admiration,neutral
31,speech,JESSICA,He actually did see every bit of brightness and goodness in everyone.,neutral,neutral,neutral
32,speech,JESSICA,"He didn't even try and look for it, he just saw it.",neutral,neutral,neutral
33,speech,BARMAN,Indeed he was the most generous of men.,neutral,admiration,neutral
